ds,yhat,yhat_lower,yhat_upper
2015-11-30,9472801.559311697,8621183.707065105,10369531.387517285
2015-12-31,9216936.724184914,8313417.411253165,10048635.754162047
2016-01-31,7968201.964477852,7173856.4528459,8771509.499770883
2016-02-29,8780140.127578743,7945916.894433237,9591447.547300892
2016-03-31,10594298.329694966,9834611.390092274,11464813.098055987
2016-04-30,10321585.877309754,9493373.319753513,11210398.14183571
2016-05-31,10650485.553036662,9788407.896591688,11476821.214401048
2016-06-30,10458653.7836926,9610007.118833447,11288386.781768648
2016-07-31,11004523.895714283,10145667.876453176,11838716.564264266
2016-08-31,11494438.084462825,10689912.655881338,12361142.446281452
2016-09-30,10759683.55627296,9873347.469951795,11590737.98397114
2016-10-31,10610952.083991155,9738505.746011369,11423520.824600328
2016-11-30,9927942.800926829,9111284.661589297,10744770.117371533
2016-12-31,9719970.448379252,8869202.9193506,10561106.045464909
2017-01-31,8556753.770893475,7734979.324658831,9397893.51957321
2017-02-28,9267650.015839167,8411743.681871291,10067572.810448322
2017-03-31,11038442.75596535,10195065.286407674,11841033.534223698
2017-04-30,10707072.767825004,9791056.292498637,11514358.938658645
2017-05-31,10994000.258851107,10113854.804123934,11828338.538355341
2017-06-30,10913187.634203311,10082935.308254562,11701911.931874821
2017-07-31,11505082.645816142,10718152.234843431,12343870.258000646
2017-08-31,11885904.032661404,11059189.441711439,12661998.183170475
2017-09-30,11171321.514837502,10304557.802915873,11954011.09049962
2017-10-31,11149785.490961602,10296570.881897133,11948166.6696695
2017-11-30,10361170.393478386,9596209.567722553,11143040.619746806
2017-12-31,10141452.626487145,9294889.376298364,10982532.74267927
2018-01-31,8952258.31318751,8103985.954662337,9776531.070728911
2018-02-28,9809802.483260766,8967014.426282099,10619000.373850845
2018-03-31,11529795.35729124,10689842.489822699,12373096.019816069
2018-04-30,11136161.37604081,10259700.792348549,11971335.742481798
2018-05-31,11379235.032340413,10520895.946859052,12179601.457976243
2018-06-30,11406781.223995522,10568564.708044218,12247567.943968635
2018-07-31,12039846.598943787,11259063.502150413,12883691.64220091
2018-08-31,12306797.402712513,11467611.825808374,13117623.427274503
2018-09-30,11611194.813515814,10779527.339627042,12468978.863242185
2018-10-31,11711801.757619921,10896449.143659983,12533607.965388594
2018-11-30,10812632.57790635,10028623.402925627,11626707.076827789
2018-12-31,10578769.271636067,9725228.740988132,11411420.287855417
2019-01-31,9362905.47918871,8492458.634235932,10268954.930721352
2019-02-28,10366191.12566068,9596915.56536561,11219178.464603143
2019-03-31,12031564.562110994,11187733.0619253,12891195.32674318
2019-04-30,11575621.797178563,10775612.550584141,12406878.689265784
2019-05-31,11776963.072739765,10966864.808306575,12560679.610478349
2019-06-30,11913913.61640678,11104081.956088545,12780214.603981452
2019-07-31,12585124.298745064,11759633.62473247,13417420.113722213
2019-08-31,12738522.02571797,11877583.304737283,13579311.233309017
2019-09-30,12065502.189797945,11211534.347963832,12904989.695393521
2019-10-31,12285760.577075195,11487789.550635267,13149602.215059819
2019-11-30,11273784.70798895,10459911.479392571,12073870.342471145
2019-12-31,11026100.975635935,10214404.658273904,11828486.400569817
2020-01-31,9785547.318702895,8911122.326304287,10615741.651757212
2020-02-29,10605138.771495137,9739166.341080142,11413852.780881701
2020-03-31,12427478.076385504,11627240.438544586,13298411.984591788
2020-04-30,12162682.820233503,11307225.673722645,13034631.844906611
2020-05-31,12499763.598734591,11697767.615531761,13343835.06881416
2020-06-30,12315849.025623906,11492407.707438005,13098196.717466384
2020-07-31,12867811.647608414,12044631.304573162,13677799.099101342
2020-08-31,13363818.346321627,12557764.598905168,14223987.297073923
2020-09-30,12634959.795516348,11855660.39687513,13436571.67713829
2020-10-31,12492320.833199063,11673476.772535477,13307254.471176146
2020-11-30,11815207.5275186,10998786.972370254,12716446.648401422
2020-12-31,11613327.684934922,10735146.9084477,12438166.904113932
